# targets_1000_prioritized.txt
# Format: UniProt_ID | gene_name | disease | priority_score | r_pocket | source
# Total: 1000 targets with real pocket radii from targets_20k.json
#
Q14699 | RFTN1 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q5VY09 | IER5 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P11940 | PABPC1 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q92974 | ARHGEF2 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P51888 | PRELP | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q7Z3Q1 | SLC46A3 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P43115 | PTGER3 | Weight Loss | 4500.0 | 6.50 | 20k_uniprot
Q5T2W1 | PDZK1 | Chemical and Drug Induced Liver Injury | 4500.0 | 7.50 | 20k_uniprot
Q07021 | C1QBP | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P51531 | SMARCA2 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
O43463 | SUV39H1 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P21757 | MSR1 | Necrosis | 4500.0 | 6.50 | 20k_uniprot
Q8NI08 | NCOA7 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.50 | 20k_uniprot
Q13636 | RAB31 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q92633 | LPAR1 | Weight Loss | 4500.0 | 6.50 | 20k_uniprot
P22079 | LPO | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
Q63HN8 | RNF213 | Weight Loss | 4500.0 | 6.10 | 20k_uniprot
Q9NRA2 | SLC17A5 | Weight Loss | 4500.0 | 7.50 | 20k_uniprot
O95711 | LY86 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q9UHR4 | BAIAP2L1 | Weight Loss | 4500.0 | 6.80 | 20k_uniprot
P33076 | CIITA | Prenatal Exposure Delayed Effects | 4500.0 | 6.00 | 20k_uniprot
Q6UXH9 | PAMR1 | Weight Loss | 4500.0 | 5.50 | 20k_uniprot
Q12967 | RALGDS | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q9NY15 | STAB1 | Weight Loss | 4500.0 | 6.50 | 20k_uniprot
P17405 | SMPD1 | Necrosis | 4500.0 | 6.00 | 20k_uniprot
Q96CG3 | TIFA | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q9NZ81 | PRR13 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q96DR7 | ARHGEF26 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q15025 | TNIP1 | Necrosis | 4500.0 | 6.00 | 20k_uniprot
Q9Y2C9 | TLR6 | Weight Loss | 4500.0 | 6.50 | 20k_uniprot
Q86WU2 | LDHD | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P46059 | SLC15A1 | Chemical and Drug Induced Liver Injury | 4500.0 | 7.50 | 20k_uniprot
Q8N573 | OXR1 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P51398 | DAP3 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
Q96MT1 | RNF145 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
Q96PP9 | GBP4 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
Q96GC9 | VMP1 | Necrosis | 4500.0 | 6.00 | 20k_uniprot
Q9NX57 | RAB20 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q6ZN66 | GBP6 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q9UQB8 | BAIAP2 | Weight Loss | 4500.0 | 6.50 | 20k_uniprot
P10144 | GZMB | Inflammation | 4500.0 | 5.50 | 20k_uniprot
Q24JP5 | TMEM132A | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P49913 | CAMP | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P35247 | SFTPD | Inflammation | 4500.0 | 6.00 | 20k_uniprot
O43502 | RAD51C | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
O95232 | LUC7L3 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q9UHD8 | SEPTIN9 | Prenatal Exposure Delayed Effects | 4500.0 | 6.00 | 20k_uniprot
Q9UBT2 | UBA2 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
O60602 | TLR5 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.50 | 20k_uniprot
O43566 | RGS14 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
O94759 | TRPM2 | Weight Loss | 4500.0 | 6.50 | 20k_uniprot
O14966 | RAB29 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q9UNK4 | PLA2G2D | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P61009 | SPCS3 | Chemical and Drug Induced Liver Injury | 4500.0 | 5.50 | 20k_uniprot
Q9BXP5 | SRRT | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
A4FU01 | MTMR11 | Weight Loss | 4500.0 | 6.20 | 20k_uniprot
P46736 | BRCC3 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
Q86VP1 | TAX1BP1 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.00 | 20k_uniprot
P49279 | SLC11A1 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q5VW38 | GPR107 | Chemical and Drug Induced Liver Injury | 4500.0 | 6.50 | 20k_uniprot
Q13049 | TRIM32 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
Q92772 | CDKL2 | Weight Loss | 4500.0 | 6.80 | 20k_uniprot
Q6UWE0 | LRSAM1 | Weight Loss | 4500.0 | 6.00 | 20k_uniprot
P05231 | IL6 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
Q07812 | BAX | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P31749 | AKT1 | Weight Loss | 3600.0 | 6.80 | 20k_uniprot
P22301 | IL10 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P08684 | CYP3A4 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P37231 | PPARG | Chemical and Drug Induced Liver Injury | 3600.0 | 6.50 | 20k_uniprot
P05164 | MPO | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P07203 | GPX1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P36956 | SREBF1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
Q07869 | PPARA | Chemical and Drug Induced Liver Injury | 3600.0 | 6.50 | 20k_uniprot
P17174 | GOT1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P42345 | MTOR | Chemical and Drug Induced Liver Injury | 3600.0 | 6.80 | 20k_uniprot
P22680 | CYP7A1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P02751 | FN1 | Weight Loss | 3600.0 | 6.00 | 20k_uniprot
P05019 | IGF1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
Q96EB6 | SIRT1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
Q9UBK2 | PPARGC1A | Chemical and Drug Induced Liver Injury | 3600.0 | 6.50 | 20k_uniprot
P49675 | STAR | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
Q16665 | HIF1A | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P49841 | GSK3B | Chemical and Drug Induced Liver Injury | 3600.0 | 6.80 | 20k_uniprot
P18848 | ATF4 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P16671 | CD36 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.50 | 20k_uniprot
Q96RI1 | NR1H4 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.50 | 20k_uniprot
P60568 | IL2 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P35558 | PCK1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.80 | 20k_uniprot
P36969 | GPX4 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P41159 | LEP | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P06858 | LPL | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P16220 | CREB1 | Weight Loss | 3600.0 | 6.00 | 20k_uniprot
P17861 | XBP1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
Q15466 | NR0B2 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.50 | 20k_uniprot
Q96RU7 | TRIB3 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.80 | 20k_uniprot
P07099 | EPHX1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
Q15067 | ACOX1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P27986 | PIK3R1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.80 | 20k_uniprot
P05108 | CYP11A1 | Prenatal Exposure Delayed Effects | 3600.0 | 6.00 | 20k_uniprot
Q99988 | GDF15 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
O95477 | ABCA1 | Chemical and Drug Induced Liver Injury | 3600.0 | 7.50 | 20k_uniprot
Q15848 | ADIPOQ | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P18283 | GPX2 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P11166 | SLC2A1 | Chemical and Drug Induced Liver Injury | 3600.0 | 7.50 | 20k_uniprot
P07148 | FABP1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P21439 | ABCB4 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P35575 | G6PC1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.20 | 20k_uniprot
Q01581 | HMGCS1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P15090 | FABP4 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P04150 | NR3C1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.50 | 20k_uniprot
P33121 | ACSL1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.10 | 20k_uniprot
P02649 | APOE | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P14672 | SLC2A4 | Chemical and Drug Induced Liver Injury | 3600.0 | 7.50 | 20k_uniprot
P22352 | GPX3 | Weight Loss | 3600.0 | 6.00 | 20k_uniprot
O00767 | SCD | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P00797 | REN | Hypertension | 3600.0 | 6.00 | 20k_uniprot
P35568 | IRS1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.50 | 20k_uniprot
Q99541 | PLIN2 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
Q02318 | CYP27A1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P02647 | APOA1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P49715 | CEBPA | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P04114 | APOB | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
Q92934 | BAD | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P20813 | CYP2B6 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
O15503 | INSIG1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P60484 | PTEN | Weight Loss | 3600.0 | 6.20 | 20k_uniprot
O00622 | CCN1 | Weight Loss | 3600.0 | 6.00 | 20k_uniprot
P22736 | NR4A1 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.50 | 20k_uniprot
Q9BY76 | ANGPTL4 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
O95140 | MFN2 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
Q02363 | ID2 | Weight Loss | 3600.0 | 6.00 | 20k_uniprot
Q16654 | PDK4 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.80 | 20k_uniprot
P13726 | F3 | Necrosis | 3600.0 | 6.00 | 20k_uniprot
P55851 | UCP2 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
O43524 | FOXO3 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
O00141 | SGK1 | Weight Loss | 3600.0 | 6.80 | 20k_uniprot
P53396 | ACLY | Chemical and Drug Induced Liver Injury | 3600.0 | 5.80 | 20k_uniprot
Q13133 | NR1H3 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.50 | 20k_uniprot
P01024 | C3 | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P08069 | IGF1R | Weight Loss | 3600.0 | 6.50 | 20k_uniprot
Q12778 | FOXO1 | Weight Loss | 3600.0 | 6.00 | 20k_uniprot
P01138 | NGF | Necrosis | 3600.0 | 6.00 | 20k_uniprot
O00429 | DNM1L | Chemical and Drug Induced Liver Injury | 3600.0 | 6.00 | 20k_uniprot
P35354 | PTGS2 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P08253 | MMP2 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P19320 | VCAM1 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
Q07157 | TJP1 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P29474 | NOS3 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P01019 | AGT | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P29279 | CCN2 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P17302 | GJA1 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P17252 | PRKCA | Chemical and Drug Induced Liver Injury | 6000.0 | 6.80 | 20k_uniprot
P48061 | CXCL12 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P35225 | IL13 | Inflammation | 6000.0 | 6.00 | 20k_uniprot
P61073 | CXCR4 | Weight Loss | 6000.0 | 6.50 | 20k_uniprot
P15104 | GLUL | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P12277 | CKB | Weight Loss | 6000.0 | 6.80 | 20k_uniprot
P09619 | PDGFRB | Chemical and Drug Induced Liver Injury | 6000.0 | 6.50 | 20k_uniprot
P16234 | PDGFRA | Weight Loss | 6000.0 | 6.50 | 20k_uniprot
P41134 | ID1 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P01127 | PDGFB | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
Q9UBS3 | DNAJB9 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P35968 | KDR | Weight Loss | 6000.0 | 6.80 | 20k_uniprot
P19793 | RXRA | Chemical and Drug Induced Liver Injury | 6000.0 | 6.50 | 20k_uniprot
P16860 | NPPB | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
O95497 | VNN1 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
Q99075 | HBEGF | Chemical and Drug Induced Liver Injury | 6000.0 | 6.50 | 20k_uniprot
P41220 | RGS2 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
O14503 | BHLHE40 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P16581 | SELE | Inflammation | 6000.0 | 6.00 | 20k_uniprot
Q02535 | ID3 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P26583 | HMGB2 | Prenatal Exposure Delayed Effects | 6000.0 | 6.00 | 20k_uniprot
P35625 | TIMP3 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
Q15109 | AGER | Weight Loss | 6000.0 | 6.50 | 20k_uniprot
P50281 | MMP14 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P17661 | DES | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P55008 | AIF1 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P21453 | S1PR1 | Weight Loss | 6000.0 | 6.50 | 20k_uniprot
P49763 | PGF | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P12883 | MYH7 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
O14944 | EREG | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P78423 | CX3CL1 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P39060 | COL18A1 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P30793 | GCH1 | Necrosis | 6000.0 | 6.00 | 20k_uniprot
Q9NQ66 | PLCB1 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
O14495 | PLPP3 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.20 | 20k_uniprot
Q99527 | GPER1 | Prenatal Exposure Delayed Effects | 6000.0 | 6.50 | 20k_uniprot
Q92570 | NR4A3 | Weight Loss | 6000.0 | 6.50 | 20k_uniprot
O14786 | NRP1 | Weight Loss | 6000.0 | 6.50 | 20k_uniprot
P04275 | VWF | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P20827 | EFNA1 | Weight Loss | 6000.0 | 6.80 | 20k_uniprot
P19429 | TNNI3 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P16284 | PECAM1 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P08648 | ITGA5 | Weight Loss | 6000.0 | 6.50 | 20k_uniprot
P25116 | F2R | Chemical and Drug Induced Liver Injury | 6000.0 | 6.50 | 20k_uniprot
P05120 | SERPINB2 | Weight Loss | 6000.0 | 6.80 | 20k_uniprot
P02545 | LMNA | Necrosis | 6000.0 | 6.00 | 20k_uniprot
Q06413 | MEF2C | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P49767 | VEGFC | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P10276 | RARA | Weight Loss | 6000.0 | 6.50 | 20k_uniprot
P00734 | F2 | Necrosis | 6000.0 | 6.00 | 20k_uniprot
P13688 | CEACAM1 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
Q12841 | FSTL1 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
Q9C0K1 | SLC39A8 | Weight Loss | 6000.0 | 7.50 | 20k_uniprot
P43694 | GATA4 | Prenatal Exposure Delayed Effects | 6000.0 | 6.00 | 20k_uniprot
Q15389 | ANGPT1 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P04899 | GNAI2 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
Q99814 | EPAS1 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
Q15327 | ANKRD1 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
O95810 | CAVIN2 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P21333 | FLNA | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P98160 | HSPG2 | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
Q13557 | CAMK2D | Weight Loss | 6000.0 | 6.80 | 20k_uniprot
Q99985 | SEMA3C | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P14923 | JUP | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P23381 | WARS1 | Chemical and Drug Induced Liver Injury | 6000.0 | 6.10 | 20k_uniprot
Q53QV2 | LBH | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P07204 | THBD | Weight Loss | 6000.0 | 6.00 | 20k_uniprot
P55290 | CDH13 | Prenatal Exposure Delayed Effects | 6000.0 | 6.00 | 20k_uniprot
Q8IZJ1 | UNC5B | Chemical and Drug Induced Liver Injury | 6000.0 | 6.50 | 20k_uniprot
P55042 | RRAD | Chemical and Drug Induced Liver Injury | 6000.0 | 6.00 | 20k_uniprot
P16109 | SELP | Inflammation | 6000.0 | 6.00 | 20k_uniprot
O43497 | CACNA1G | Prenatal Exposure Delayed Effects | 6000.0 | 8.00 | 20k_uniprot
O75469 | NR1I2 | Chemical and Drug Induced Liver Injury | 900.0 | 6.50 | 20k_uniprot
Q14994 | NR1I3 | Chemical and Drug Induced Liver Injury | 900.0 | 6.50 | 20k_uniprot
O95831 | AIFM1 | Necrosis | 900.0 | 6.00 | 20k_uniprot
P43354 | NR4A2 | Weight Loss | 900.0 | 6.50 | 20k_uniprot
Q9Y5W3 | KLF2 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q14246 | ADGRE1 | Weight Loss | 900.0 | 6.50 | 20k_uniprot
Q53HL2 | CDCA8 | Chemical and Drug Induced Liver Injury | 900.0 | 6.00 | 20k_uniprot
P53805 | RCAN1 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
O14493 | CLDN4 | Weight Loss | 900.0 | 6.50 | 20k_uniprot
O75419 | CDC45 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
P10826 | RARB | Chemical and Drug Induced Liver Injury | 900.0 | 6.50 | 20k_uniprot
Q53GA4 | PHLDA2 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
P48443 | RXRG | Prenatal Exposure Delayed Effects | 900.0 | 6.50 | 20k_uniprot
Q14206 | RCAN2 | Chemical and Drug Induced Liver Injury | 900.0 | 6.00 | 20k_uniprot
Q6PGN9 | PSRC1 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
O95490 | ADGRL2 | Weight Loss | 900.0 | 6.50 | 20k_uniprot
P05204 | HMGN2 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q96BI1 | SLC67A1 | Chemical and Drug Induced Liver Injury | 900.0 | 7.50 | 20k_uniprot
Q14439 | GPR176 | Weight Loss | 900.0 | 6.50 | 20k_uniprot
P78347 | GTF2I | Weight Loss | 900.0 | 6.80 | 20k_uniprot
Q9NQS7 | INCENP | Chemical and Drug Induced Liver Injury | 900.0 | 6.00 | 20k_uniprot
Q14571 | ITPR2 | Weight Loss | 900.0 | 6.50 | 20k_uniprot
P56282 | POLE2 | Necrosis | 900.0 | 7.00 | 20k_uniprot
P54132 | BLM | Weight Loss | 900.0 | 6.30 | 20k_uniprot
Q86XX4 | FRAS1 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q07864 | POLE | Weight Loss | 900.0 | 7.00 | 20k_uniprot
Q8WXG9 | ADGRV1 | Chemical and Drug Induced Liver Injury | 900.0 | 6.50 | 20k_uniprot
Q9UDT6 | CLIP2 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q9BX63 | BRIP1 | Weight Loss | 900.0 | 6.30 | 20k_uniprot
Q9NRL2 | BAZ1A | Weight Loss | 900.0 | 6.00 | 20k_uniprot
P51608 | MECP2 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
P05114 | HMGN1 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
P62508 | ESRRG | Weight Loss | 900.0 | 6.50 | 20k_uniprot
P13631 | RARG | Prenatal Exposure Delayed Effects | 900.0 | 6.50 | 20k_uniprot
P28702 | RXRB | Prenatal Exposure Delayed Effects | 900.0 | 6.50 | 20k_uniprot
O75792 | RNASEH2A | Chemical and Drug Induced Liver Injury | 900.0 | 6.00 | 20k_uniprot
O43516 | WIPF1 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q8NFV4 | ABHD11 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q9UJP4 | KLHL21 | Chemical and Drug Induced Liver Injury | 900.0 | 6.00 | 20k_uniprot
Q5VV17 | OTUD1 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
O60241 | ADGRB2 | Weight Loss | 900.0 | 6.50 | 20k_uniprot
Q92902 | HPS1 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
O43542 | XRCC3 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
P47813 | EIF1AX | Prenatal Exposure Delayed Effects | 900.0 | 6.00 | 20k_uniprot
Q9UHL9 | GTF2IRD1 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q9UIG0 | BAZ1B | Weight Loss | 900.0 | 6.80 | 20k_uniprot
Q9GZY6 | LAT2 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q9NQ50 | MRPL40 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q15056 | EIF4H | Weight Loss | 900.0 | 6.00 | 20k_uniprot
O95239 | KIF4A | Chemical and Drug Induced Liver Injury | 900.0 | 6.00 | 20k_uniprot
Q9UHF7 | TRPS1 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
O15523 | DDX3Y | Prenatal Exposure Delayed Effects | 900.0 | 6.30 | 20k_uniprot
Q9GZN0 | GPR88 | Prenatal Exposure Delayed Effects | 900.0 | 6.50 | 20k_uniprot
Q9UPZ3 | HPS5 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q02833 | RASSF7 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q9H8J5 | MANSC1 | Chemical and Drug Induced Liver Injury | 900.0 | 6.00 | 20k_uniprot
Q9UKA8 | RCAN3 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q9HAR2 | ADGRL3 | Weight Loss | 900.0 | 6.50 | 20k_uniprot
Q9HB58 | SP110 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
O75072 | FKTN | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q8IXV7 | KLHDC8B | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q86WQ0 | NR2C2AP | Weight Loss | 900.0 | 6.50 | 20k_uniprot
Q9NRF9 | POLE3 | Chemical and Drug Induced Liver Injury | 900.0 | 7.00 | 20k_uniprot
Q9NR33 | POLE4 | Chemical and Drug Induced Liver Injury | 900.0 | 7.00 | 20k_uniprot
P57054 | PIGP | Chemical and Drug Induced Liver Injury | 900.0 | 6.00 | 20k_uniprot
Q8IWK6 | ADGRA3 | Weight Loss | 900.0 | 6.50 | 20k_uniprot
Q14191 | WRN | Weight Loss | 900.0 | 6.30 | 20k_uniprot
Q9NZQ3 | NCKIPSD | Weight Loss | 900.0 | 6.00 | 20k_uniprot
O00192 | ARVCF | Prenatal Exposure Delayed Effects | 900.0 | 6.00 | 20k_uniprot
Q8NEX9 | SDR9C7 | Hepatomegaly | 900.0 | 6.00 | 20k_uniprot
Q13428 | TCOF1 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q8TAM1 | BBS10 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q14129 | DGCR6 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
P57055 | RIPPLY3 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
P10155 | RO60 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
O43543 | XRCC2 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q5TF58 | IFFO2 | Weight Loss | 900.0 | 6.00 | 20k_uniprot
Q9HCD5 | NCOA5 | Chemical and Drug Induced Liver Injury | 900.0 | 6.50 | 20k_uniprot
